ref,hyp,cer
с,*,0.788034188034188
и,*,0.788034188034188
д,*,0.788034188034188
и,*,0.788034188034188
т,*,0.788034188034188
ь,*,0.788034188034188
 ,*,0.788034188034188
б,*,0.788034188034188
а,*,0.788034188034188
т,*,0.788034188034188
ь,*,0.788034188034188
к,*,0.788034188034188
о,*,0.788034188034188
 ,*,0.788034188034188
к,*,0.788034188034188
і,*,0.788034188034188
н,*,0.788034188034188
е,*,0.788034188034188
ц,*,0.788034188034188
ь,*,0.788034188034188
 ,*,0.788034188034188
с,*,0.788034188034188
т,*,0.788034188034188
о,*,0.788034188034188
л,*,0.788034188034188
а,у,0.788034188034188
 ,*,0.788034188034188
н,*,0.788034188034188
а,*,0.788034188034188
 ,*,0.788034188034188
р,*,0.788034188034188
у,*,0.788034188034188
к,*,0.788034188034188
и,*,0.788034188034188
 ,*,0.788034188034188
с,*,0.788034188034188
х,*,0.788034188034188
и,*,0.788034188034188
л,*,0.788034188034188
и,*,0.788034188034188
в,*,0.788034188034188
с,*,0.788034188034188
я,*,0.788034188034188
 ,*,0.788034188034188
н,*,0.788034188034188
е,*,0.788034188034188
 ,*,0.788034188034188
д,*,0.788034188034188
и,*,0.788034188034188
в,*,0.788034188034188
и,*,0.788034188034188
т,*,0.788034188034188
ь,*,0.788034188034188
с,*,0.788034188034188
я,*,0.788034188034188
 ,*,0.788034188034188
н,*,0.788034188034188
а,*,0.788034188034188
 ,*,0.788034188034188
с,*,0.788034188034188
в,*,0.788034188034188
і,*,0.788034188034188
т,*,0.788034188034188
+, ,0.788034188034188
+,б,0.788034188034188
+,о,0.788034188034188
+,ж,0.788034188034188
+,и,0.788034188034188
+,й,0.788034188034188
 ,*,0.788034188034188
т,*,0.788034188034188
я,*,0.788034188034188
ж,*,0.788034188034188
к,*,0.788034188034188
о,*,0.788034188034188
 ,*,0.788034188034188
з,*,0.788034188034188
а,*,0.788034188034188
ж,*,0.788034188034188
у,*,0.788034188034188
р,*,0.788034188034188
и,*,0.788034188034188
в,*,0.788034188034188
с,*,0.788034188034188
я,*,0.788034188034188
 ,*,0.788034188034188
к,*,0.788034188034188
о,*,0.788034188034188
л,*,0.788034188034188
о,*,0.788034188034188
 ,*,0.788034188034188
й,*,0.788034188034188
о,*,0.788034188034188
г,*,0.788034188034188
о,*,0.788034188034188
 ,*,0.788034188034188
с,*,0.788034188034188
т,*,0.788034188034188
а,*,0.788034188034188
р,*,0.788034188034188
а,*,0.788034188034188
 ,*,0.788034188034188
м,*,0.788034188034188
а,*,0.788034188034188
т,*,0.788034188034188
и,*,0.788034188034188
 ,*,0.788034188034188
с,*,0.788034188034188
и,*,0.788034188034188
д,*,0.788034188034188
и,*,0.788034188034188
т,*,0.788034188034188
ь,*,0.788034188034188
 ,*,0.788034188034188
н,*,0.788034188034188
а,*,0.788034188034188
 ,*,0.788034188034188
о,*,0.788034188034188
с,*,0.788034188034188
л,*,0.788034188034188
о,*,0.788034188034188
н,*,0.788034188034188
і,*,0.788034188034188
 ,*,0.788034188034188
з,о,0.788034188034188
а,-,0.788034188034188
 ,-,0.788034188034188
с,-,0.788034188034188
л,*,0.788034188034188
ь,-,0.788034188034188
о,-,0.788034188034188
з,-,0.788034188034188
а,-,0.788034188034188
м,-,0.788034188034188
и,-,0.788034188034188
 ,-,0.788034188034188
в,-,0.788034188034188
и,-,0.788034188034188
м,-,0.788034188034188
о,*,0.788034188034188
в,*,0.788034188034188
л,-,0.788034188034188
я,-,0.788034188034188
є,-,0.788034188034188
 ,-,0.788034188034188
в,-,0.788034188034188
е,-,0.788034188034188
с,-,0.788034188034188
і,-,0.788034188034188
л,-,0.788034188034188
л,-,0.788034188034188
я,-,0.788034188034188
 ,-,0.788034188034188
д,-,0.788034188034188
о,*,0.788034188034188
н,*,0.788034188034188
ю,о,0.788034188034188
-,с,0.788034188034188
-,н,0.788034188034188
-,и,0.788034188034188
-,х,0.788034188034188
 ,*,0.788034188034188
м,*,0.788034188034188
о,*,0.788034188034188
я,-,0.788034188034188
 ,-,0.788034188034188
а,-,0.788034188034188
 ,-,0.788034188034188
д,-,0.788034188034188
е,-,0.788034188034188
 ,-,0.788034188034188
ж,-,0.788034188034188
 ,-,0.788034188034188
т,-,0.788034188034188
в,-,0.788034188034188
о,-,0.788034188034188
я,-,0.788034188034188
 ,-,0.788034188034188
п,-,0.788034188034188
а,-,0.788034188034188
р,-,0.788034188034188
а,-,0.788034188034188
 ,-,0.788034188034188
д,-,0.788034188034188
е,-,0.788034188034188
 ,-,0.788034188034188
с,-,0.788034188034188
в,-,0.788034188034188
і,-,0.788034188034188
т,-,0.788034188034188
и,-,0.788034188034188
л,-,0.788034188034188
к,-,0.788034188034188
и,-,0.788034188034188
 ,-,0.788034188034188
з,-,0.788034188034188
 ,-,0.788034188034188
д,-,0.788034188034188
р,-,0.788034188034188
у,-,0.788034188034188
ж,-,0.788034188034188
е,-,0.788034188034188
н,*,0.788034188034188
ь,-,0.788034188034188
к,-,0.788034188034188
а,-,0.788034188034188
м,-,0.788034188034188
и,-,0.788034188034188
 ,-,0.788034188034188
с,-,0.788034188034188
т,-,0.788034188034188
а,-,0.788034188034188
р,-,0.788034188034188
о,-,0.788034188034188
с,-,0.788034188034188
т,-,0.788034188034188
и,-,0.788034188034188
 ,-,0.788034188034188
б,-,0.788034188034188
о,-,0.788034188034188
я,-,0.788034188034188
р,-,0.788034188034188
е,-,0.788034188034188
 ,-,0.788034188034188
в,-,0.788034188034188
 ,-,0.788034188034188
м,-,0.788034188034188
о,-,0.788034188034188
с,-,0.788034188034188
к,-,0.788034188034188
о,-,0.788034188034188
в,-,0.788034188034188
щ,-,0.788034188034188
и,-,0.788034188034188
н,-,0.788034188034188
і,-,0.788034188034188
 ,-,0.788034188034188
