ref,hyp,wer
сидить,*,0.8333333333333334
батько,*,0.8333333333333334
кінець,*,0.8333333333333334
стола,столу,0.8333333333333334
на,*,0.8333333333333334
руки,*,0.8333333333333334
схилився,*,0.8333333333333334
не,*,0.8333333333333334
дивиться,*,0.8333333333333334
на,*,0.8333333333333334
світ,*,0.8333333333333334
+,божий,0.8333333333333334
тяжко,*,0.8333333333333334
зажурився,*,0.8333333333333334
коло,*,0.8333333333333334
його,*,0.8333333333333334
стара,*,0.8333333333333334
мати,*,0.8333333333333334
сидить,*,0.8333333333333334
на,*,0.8333333333333334
ослоні,*,0.8333333333333334
за,оловоносних,0.8333333333333334
сльозами,моноклональних,0.8333333333333334
вимовляє,-,0.8333333333333334
весілля,-,0.8333333333333334
доню,-,0.8333333333333334
моя,-,0.8333333333333334
а,-,0.8333333333333334
де,-,0.8333333333333334
ж,-,0.8333333333333334
твоя,-,0.8333333333333334
пара,-,0.8333333333333334
де,-,0.8333333333333334
світилки,-,0.8333333333333334
з,-,0.8333333333333334
друженьками,-,0.8333333333333334
старости,-,0.8333333333333334
бояре,-,0.8333333333333334
в,-,0.8333333333333334
московщині,-,0.8333333333333334
доню,-,0.8333333333333334
моя,-,0.8333333333333334
іди,-,0.8333333333333334
ж,-,0.8333333333333334
їх,-,0.8333333333333334
шукати,-,0.8333333333333334
та,-,0.8333333333333334
не,-,0.8333333333333334
кажи,-,0.8333333333333334
добрим,-,0.8333333333333334
людям,-,0.8333333333333334
що,-,0.8333333333333334
є,-,0.8333333333333334
в,-,0.8333333333333334
тебе,-,0.8333333333333334
мати,-,0.8333333333333334
проклятий,-,0.8333333333333334
що,-,0.8333333333333334
ти,-,0.8333333333333334
народилась,-,0.8333333333333334
якби,-,0.8333333333333334
знала,-,0.8333333333333334
до,-,0.8333333333333334
схід,-,0.8333333333333334
сонця,-,0.8333333333333334
була,-,0.8333333333333334
б,-,0.8333333333333334
утопила,-,0.8333333333333334
здалась,-,0.8333333333333334
тоді,-,0.8333333333333334
б,-,0.8333333333333334
ти,-,0.8333333333333334
гадині,-,0.8333333333333334
тепер,-,0.8333333333333334
москалеві,-,0.8333333333333334
доню,-,0.8333333333333334
моя,-,0.8333333333333334
доню,-,0.8333333333333334
моя,-,0.8333333333333334
цвіте,-,0.8333333333333334
мій,-,0.8333333333333334
рожевий,-,0.8333333333333334
як,-,0.8333333333333334
ягодку,-,0.8333333333333334
як,-,0.8333333333333334
пташечку,-,0.8333333333333334
кохала,-,0.8333333333333334
ростила,-,0.8333333333333334
на,-,0.8333333333333334
лишенько,-,0.8333333333333334
доню,-,0.8333333333333334
моя,-,0.8333333333333334
що,-,0.8333333333333334
ти,-,0.8333333333333334
наробила,-,0.8333333333333334
оддячила,-,0.8333333333333334
іди,-,0.8333333333333334
ж,-,0.8333333333333334
шукай,-,0.8333333333333334
у,-,0.8333333333333334
москві,-,0.8333333333333334
свекрухи,-,0.8333333333333334
не,-,0.8333333333333334
слухала,-,0.8333333333333334
моїх,-,0.8333333333333334
річей,-,0.8333333333333334
то,-,0.8333333333333334
її,-,0.8333333333333334
послухай,-,0.8333333333333334
